All,Sve
"This transaction cannot be refunded with its current status.","Ova transakcija nemože miti povraćena sa trenutnim statusom."
"The authenticity of the gateway response could not be verified.","Autentičnost prolaza ne moće biti verifikovana."
"Basic Authorize.Net Settings","Osnovna Authorize.Net podešavanja"
Environment,Okruženje
"Public Client Key","Javni Ključ Klijenta"
"Signature Key","Ključ Potpisa"
"Advanced Authorize.Net Settings","Napredna Authorize.Net Podešavanja"
"Enable Credit Card Verification Field","Uključi Polje za Verifikaciju Kreditnom Karticom"
"Invalid request to gateway.","Nevažeći zahtev do gateway-ja."
"Invalid gateway credentials.","Nevažeći gateway podaci."
"Transaction has been declined. Please try again later.","Transakcija je odbijena. Pokušajte ponovo kasnije."
options,opcije
"Select all","Izaberi sve"
"Deselect all","Opoovi sve"
"%s of %s selected","%s od %s izabrano"
"B2B Features","B2B Karakteristike"
"Invalid Form Key. Please refresh the page.","Nevažeća šifra za formu. Molim osvežite stranicu."
"You entered an invalid Secret Key. Please refresh the page.","Uneli ste pogrešnu tajnu šifru. Molim osvežite stranicu."
"Cache Storage Management","Upravljanje skladištem keša"
"Flush Magento Cache","Isprazni Magento keš"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Skladište keša može da sadrži dodatne podatke. Da li ste sigurni da želite da se isprazni?"
"Flush Cache Storage","Isprazni skladište keša"
Invalidated,Poništeni
Orders,Porudžbine
Amounts,Iznos
Bestsellers,Najprodavaniji
"Most Viewed Products","Najčešće pregledani proizvodi"
"New Customers","Novi kupac"
Customer,Kupac
Guest,Gost
Items,Stavke
Total,Ukupno
"Lifetime Sales","Totalna rasprodaja"
"Average Order","Prosečna porudžbina"
Average,Prosek
Views,Pregledi
Revenue,Prihod
Tax,Porez
Shipping,Dostava
"Images (.gif, .jpg, .png)","Slike (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Mediji (.avi, .flv, .swf)"
"All Files","Sve datoteke"
"Reset to Default","Vrati na fabrička podešavanja"
"All Store Views","Svi pregledi prodavnica"
"What is this?","Šta je ovo?"
"Save Account","Sačuvaj nalog"
"My Account","Moj nalog"
"Account Information","Informacije o nalogu"
"User Name","Korisničko ime"
"First Name",Ime
"Last Name",Prezime
Email,E-pošta
"User Email","Korisnička e-pošta"
"New Password","Nova lozinka"
"Password Confirmation","Ponoviti lozinku"
"Interface Locale","Lokalni interfejs"
"Current User Identity Verification","Verifikacija identiteta trenutnog korisnika"
"Your Password","Vaša lozinka"
"Save Cache Settings","Sačuvaj postavke keširanja"
"Catalog Rewrites","Katalog ponovo napisati"
Refresh,Osveži
"Images Cache","Keširane slike"
Clear,Očisti
"Search Index","Indeks za pretragu"
Rebuild,"Napravi ponovo"
"Inventory Stock Status","Berzanski Status zaliha"
"Rebuild Catalog Index","Ponovno pravljenje indeksa kataloga"
"Rebuild Flat Catalog Category","Rekonstruiši katalog kategorija"
"Rebuild Flat Catalog Product","Rekonstruiši katalog proizvoda"
"Cache Control","Kontrola keša"
"All Cache","Sav keš"
"No change","Bez promene"
Disable,Onemogući
Enable,Omogući
"Add Design Change","Dodaj promene dizajna"
Delete,Obrisati
Save,Sačuvaj
"Edit Design Change","Uredi promene dizajna"
"New Store Design Change","Promene dizajna nove prodavnice"
"General Settings","Opšte postavke"
"-- Please Select --","-- Molim odaberite --"
"Custom Design","Prilagođeni dizajn"
"Date From","Datum od"
"Date To","Datum do"
"Design Change","Promena dizajna"
General,Opšte
"Delete %1 '%2'","Obriši %1 „%2”"
"Delete %1","Obriši %1"
"Block Information","Blok informacija"
"Backup Options","Opcije rezervnih kopija"
"Create DB Backup","Kreiraj rezervne kopije DB"
"Delete Store","Brisanje prodavnice"
"Delete Web Site","Brisanje Web lokacije"
"Save Web Site","Čuvanje Web lokacije"
"Save Store","Čuvanje prodavnice"
"Save Store View","Sačuvaj prikaz prodavnice"
"Delete Store View","Brisanje prikaza prodavnice"
"Edit Web Site","Uređivanje Web lokacije"
"New Web Site","Nova Web lokacija"
"Edit Store","Uređivanje prodavnice"
"New Store","Nova prodavnica"
"Edit Store View","Uredi prikaz prodavnice"
"New Store View","Novi prikaz prodavnice"
"Store Information","Sačuvaj informacije"
"Web Site","Web lokacija"
Name,Ime
Code,Kod
"Root Category","Root kategorija"
"Default Store View","Prikaz podrazumevane prodavnice"
"Store View Information","Prikaz informacija o prodavnici"
Disabled,Onemogućeno
"Web Site Information","Informacije o Web lokaciji"
"Default Store","Podrazumevana prodavnica"
"Set as Default","Postavi kao zadani"
Stores,Prodavnice
"Create Website","Kreiranje Web lokacija"
"Create Store","Napravi prodavnicu"
"Create Store View","Kreiranje prikaza prodavnice"
Home,Početna
Reset,Resetovati
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Add New Image","Dodaj novu sliku"
"Export block for grid %1 is not defined","Izvoz bloka za koordinatnu mrežu %1 nije definisan"
"Reset Filter","Poništavanje filtera"
Search,Pretraga
Any,"Bilo koji"
"All Countries","Sve zemlje"
From,Od
To,Do
"Date selector","Izbor datuma"
"[ deleted ]",[izbrisan]
"Select All","Izaberi sve"
" [deleted]"," [izbrisan]"
"We couldn't find any records.","Nismo pronašli ni jedan zapis."
"Add New","Dodaj Novo"
"Invalid export type supplied for grid export block","Nevažeći tip izvoza obezbeđen za izvoza bloka"
Export,Izvezi
"Please correct the column format and try again.","Ispravite oblik kolone i pokušajte ponovo."
"Please select items.","Izaberite stavke."
Submit,Pošalji
"Unknown block type","Nepoznati tip bloka"
"Please correct the tab configuration and try again. Tab Id should be not empty","Molim vas ispravite konfiguraciju kartice i pokušajte ponovo. Id kartice ne sme biti prazan"
"Please correct the tab configuration and try again.","Ispravite konfiguraciju kartice i pokušajte ponovo."
"You have logged out.","Odjavili ste se."
"Specified cache type(s) don't exist: %1","Odrešeni tip(ovi) keša ne postoje: %1"
"The image cache was cleaned.","Slika keša je obrisana."
"An error occurred while clearing the image cache.","Pojavila se greška prilikom brisanje slika keša."
"The JavaScript/CSS cache has been cleaned.","Keš JavaScript/CSS je obrisan."
"An error occurred while clearing the JavaScript/CSS cache.","Pojavila se greška prilikom brisanje keša JavaScript/CSS."
"The static files cache has been cleaned.","Keš statičkih datoteka obrisan."
"You flushed the cache storage.","Obrisali ste keš skladišta."
"The Magento cache storage has been flushed.","Keš skladište Magenta je obrisan."
"Cache Management","Upravljanje kešom"
"You can't change status of cache type(s) in production mode","Ne možete promeniti status tipovima keš(a) u proizvodnom režimu"
"%1 cache type(s) disabled.","%1 keš tipov(im)a je onemogućen."
"An error occurred while disabling cache.","Pojavila se greška prilikom onemogućavanja keša."
"%1 cache type(s) enabled.","%1 keš tipov(im)a je omogućen."
"An error occurred while enabling cache.","Pojavila se greška prilikom omogućavanja keša."
"%1 cache type(s) refreshed.","%1 keš tipov(im)a je osvežen."
"An error occurred while refreshing cache.","Pojavila se greška prilikom osvežavanja keša."
Dashboard,"Kontrolna tabla"
"We updated lifetime statistic.","Ažurirali smo svu statistiku."
"We can't refresh lifetime statistics.","Ne možemo osvežiti svu statistiku."
"invalid request","nevažeći zahtev"
"see error log for details","pogledati dnevnik grešaka za detalje"
"Service unavailable: %1","Usluga nije dostupna: %1"
"Access Denied.","Pristup je odbijen."
"You need more permissions to do this.","Potrebno vam je više dozvola za pristup ovom."
"No search modules were registered","Nema registrovanih modula za pretragu"
"Please make sure that all global admin search modules are installed and activated.","Uverite se da su svi admin globalni moduli za pretragu instalirani i aktivirani."
"You saved the account.","Sačuvali ste nalog."
"An error occurred while saving account.","Došlo je do greške pri snimanju naloga."
"You deleted the design change.","Vi ste obrisali promene dizajna."
"You can't delete the design change.","Ne možete obrisati promene dizajna."
"Store Design","Dizajn prodavnice"
"Edit Store Design Change","Uredi promene dizajna prodavnice"
"You saved the design change.","Sačuvali ste promene dizajna."
System,Sistem
"Manage Stores","Upravljanje prodavnicama"
"The database was backed up.","Napravljena je rezervna kopija baze podataka."
"We can't create a backup right now. Please try again later.","Ne možemo napraviti rezervnu kopiju sada. Pokušajte kasnije."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Brisanje je %1 neće izbrisati informacije povezane sa %1 (tj. kategorije, proizvodi, itd.), ali %1 se neće moći obnoviti. Poželjno je da kreirate rezervnu kopiju baze podataka pre brisanja %1."
"Something went wrong. Please try again.","Nešto je pošlo naopako. Pokušaj ponovo."
"This store cannot be deleted.","Prodavnicu nije moguće izbrisati."
"You deleted the store.","Obrisali ste prodavnicu."
"Unable to delete the store. Please try again later.","Nije moguće obrisati prodavnicu. Pokušajte ponovo kasnije."
"This store view cannot be deleted.","Ovaj prikaz prodavnice nije moguće obrisati."
"Store View","Prikaz prodavnice"
"You deleted the store view.","Obrisali ste prikaz prodavnice."
"Unable to delete the store view. Please try again later.","Nije moguće obrisati prikaz prodavnice. Molim pokušati kasnije."
"This website cannot be deleted.","Ovu web lokaciju nije moguće obrisati."
"You deleted the website.","Obrisali ste web lokaciju."
"Unable to delete the website. Please try again later.","Nije moguće obrisati web lokaciju. Molim pokušajte kasnije."
"The website does not exist.","Web lokacija ne postoji."
"Before modifying the website code please make sure it is not used in index.php.","Pre izmene koda web lokacije molim da se uverite da se kod ne koristi u index.php."
"The store does not exist","Prodavnica ne postoji"
"Store view doesn't exist","Izgled prodavnice ne postoji"
"Before modifying the store view code please make sure it is not used in index.php.","Pre izmene koda izgleda prodavnice molim da se uverite da se kod ne koristi u index.php."
"New ","Novo "
"All Stores","Sve prodavnice"
"You saved the website.","Sačuvali ste web lokaciju."
"The default store cannot be disabled","Podrazumevana prodavnica ne može biti onemogućena"
"You saved the store view.","Sačuvali ste izgled prodavnice."
"An inactive store view cannot be saved as default store view","Neaktivan izgled prodavnice ne može biti sačuvan kao podrazumevan izgled prodavnice"
"You saved the store.","Sačuvali ste prodavnicu."
"Something went wrong while saving. Please review the error log.","Došlo je do greške pri snimanju. Pogledajte evidenciju grešaka."
"Last 24 Hours","Poslednja 24 sata"
"Last 7 Days","Poslednjih 7 dana"
"Current Month","Tekući mesec"
YTD,"GODINA DO DATUMA"
2YTD,"2 godine do datuma"
"Authentication storage is incorrect.","Potvrda identiteta za skladište je neispravana."
"You did not sign in correctly or your account is temporarily disabled.","Niste se pravilno prijavili ili je vaš nalog privremeno onemogućen."
"Authentication error occurred.","Došlo je do greške pri potvrdi identiteta."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Vreme trajanja sesije za admin-a mora biti manje ili jednako 31536000 sekundi (1 godina)"
"Admin session lifetime must be greater than or equal to 60 seconds","Vreme trajanja sesije za admin-a mora biti veća ili jednako 60 sekundi"
Order,Porudžbina
"Order #%1","Porudžbina %1 #"
"Sorry, you need permissions to view this content.","Izvini, treba vam dozvola za prikazivanje ovog sadržaja."
"Next steps","Sledeći koraci"
"If you think this is an error, try signing out and signing in again.","Ako mislite da je ovo je greška, pokušajte sa odjavljivanjem i ponovnom prijavom."
"Contact a system administrator or store owner to gain permissions.","Obratite se administratoru sistema ili vlasniku radnje za dobijanje dozvola."
"Return to ","Vrati se na "
"previous page","prethodna stranica"
"Welcome, please sign in","Dobro došli, molim vas da se prijavite u"
Username,"Korisničko ime"
"user name","korisničko ime"
Password,Lozinka
password,lozinka
"Sign in","Prijavi se"
"Select Range:","Izbor opsega:"
"No Data Found","Nisu pronađeni podaci"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Grafikon je onemogućen. Da biste omogućili grafikon, kliknite <a href=""%1"">ovde</a>."
"Last Orders","Poslednje porudžbe"
"Last Search Terms","Poslednji traženi pojmovi"
"Top Search Terms","Najviše traženi pojmovi"
"There are no search keywords.","Ne postoje ključne reči za pretragu."
"View Statistics For:","Prikaz statistike za:"
"All Websites","Sve Web lokacije"
"Reload Data","Ponovo učitaj podatke"
"Browse Files...","Pregled datoteka..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Autorskih prava &copy; %1 Magento Commerce Inc. Sva prava zadržana."
"Magento Admin Panel","Magento admin. panel"
"Account Setting","Podešavanja naloga"
"Customer View","Lista korisnika"
"Sign Out","Odjavi se"
"About the calendar","O kalendaru"
"Go Today","Idem danas"
Previous,Prethodni
Next,Sledeće
Time,Vreme
Hour,Sat
Minute,Minut
"JavaScript may be disabled in your browser.","JavaScript može biti onemogućena u vašem web pregledaču."
"To use this website you must first enable JavaScript in your browser.","Prvo morate da omogućite JavaScript u svom pregledaču da biste koristili ovu Web lokaciju."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Ovo je samo demo prodavnica. Možete da pregledate i postavite naredbe, ali ništa neće biti obrađen."
"Report an Issue","Prijavite problem"
"Store View:","Prikaz prodavnice:"
"Stores Configuration","Konfiguracija prodavnice"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Molimo vas potvrdite promenu opsega. Svi podaci nisu dačuvani i biće obrisani."
"Additional Cache Management","Dodatno upravljanje kešom"
"Flush Catalog Images Cache","Obriši keš kataloga slika"
"Pregenerated product images files","Datoteke slika proizvoda pregenerisane"
"Flush JavaScript/CSS Cache","Očisti keš JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file","Teme JavaScript i CSS datoteka su kombinovane u jednu datoteku"
"Flush Static Files Cache","Očisti keš statičnih datoteka"
"Preprocessed view files and static files","Prethodna priprema pregleda datoteka i statičnih datoteka"
Catalog,Katalog
"JavaScript/CSS Cache","JavaScript/CSS keš"
"No records found.","Zapisi nisu pronađeni."
Images,Slike
"Big Image","Velika slika"
Thumbnail,Sličice
"Additional Settings","Dodatne postavke"
"records found","zapisi pronađeni"
selected,izabrano
"per page","po stranici"
"Previous page","Prethodna stranica"
"of %1","od %1"
"Next page","Sledeća stranica"
"Export to:","Izvezi u:"
"Mass Actions","Masovne radnje"
"Unselect All","Poništi izabrane"
"Select Visible","Izaberi vidljive"
"Unselect Visible","Poništi izabrane vidljive"
"Changes have been made to this section that have not been saved.","Promene koje su napravljene u ovoj sekciji nisu sačuvane."
"This tab contains invalid data. Please resolve this before saving.","Ova kartica sadrži nevažeće podatke. Molim vas rešite ovo pre snimanja."
"The information in this tab has been changed.","Informacije na ovoj kartici su promenjene."
Loading...,Učitavanje...
"We could not detect a size.","Nismo mogli otkriti veličinu."
"We don't recognize or support this file extension type.","Ne možemo prepoznati ili pružiti podršku za ovaj tip datoteke."
"Warning message","Poruka upozorenja"
"This operation can take a long time","Ova operacija može potrajati dugo vremena"
"Allow everything","Dozvoli sve"
"Global Search","Globalna pretraga"
"SEO & Search","SEO & pretrage"
"User Content","Sadržaj korisnika"
Content,Sadržaj
Elements,Elementi
Design,Dizajn
Schedule,Raspored
"Content translation","Prevod Sadržaja"
Settings,Podešavanja
Attributes,Atributi
"Other Settings","Druge postavke"
"Data Transfer","Prenos podataka"
"Magento Connect","Magento povezivanje"
"Connect Manager","Povežite upravljač"
"Package Extensions","Paket ekstenzija"
Tools,Alati
"Cache Types Management","Upravljanje kešom"
"Toggle Cache Type","Ukčjuči/Isključi Tip Keša"
"Refresh Cache Type","Osveži Tip Keš"
"Catalog Images Cache","Kataloga Kepa Slika"
"Web Setup Wizard","Čarobnjak za podešavanje Web"
Currency,Valuta
Communications,Komunikacije
Services,Servisi
Advanced,Napredni
"Disable Modules Output","Onemogući izlazne module"
"Store Email Addresses","Sačuvaj e-mail adrese"
"Custom Email 1","Email 1 za korisnika"
"Sender Email","E-pošta pošaljioca"
"Sender Name","Ime pošaljioca"
"Custom Email 2","Email 2 za korisnika"
"General Contact","Opšti kontakt"
"Sales Representative","Predstavnik prodaje"
"Customer Support","Podrška za korisnike"
Developer,Programеr
"Enabled Template Path Hints for Storefront","Omogućena putanja šablona za oznake na izlogu"
"Enabled Template Path Hints for Admin","Omogućena putanja šablona za oznake za admin-a"
"Add Block Names to Hints","Dodavanje blok imena za oznake"
"Template Settings","Podešavanja šablona"
"Allow Symlinks","Dozvoli Symlinks"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Upozorenje! Omogućavanje ove funkcije se ne preporučuje u proizvodnim okruženjima jer predstavlja potencijalni rizik po bezbednost."
"Minify Html","Smanji velićinu datoteke Html"
"Minification is not applied in developer mode.","Smanjivanje datoteke se ne primenjuje u režimu razvoja."
"Translate Inline","Prevedite sadržaj"
"Enabled for Storefront","Omogućeno za izlog"
"Enabled for Admin","Omogućeno za Admin-a"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Prevode, blokovi i druge keš izlaze treba onemogućiti za izlog i za administraciju umetnutih prevoda."
"JavaScript Settings","Podešavanje JavaScript"
"Merge JavaScript Files","Spajanje JavaScript datoteka"
"Enable JavaScript Bundling","Omogući JavaScript povezivanje"
"Minify JavaScript Files","Smanji JavaScript datoteke"
"CSS Settings","CSS podešavanja"
"Merge CSS Files","Spajanje CSS datoteka"
"Minify CSS Files","Smanjivanje veličine CSS datoteka"
"Image Processing Settings","Podešavanje obrade slika"
"Image Adapter","Prilagođavanje slika"
"Static Files Settings","Podešavanje statičnih datoteka"
"Sign Static Files","Potpisivanje statičnih datoteka"
"Country Options","Podešavanje država"
"Allow Countries","Dopuštene države"
"Default Country","Podrazumevana država"
"European Union Countries","Zemlje Evropske unije"
"Top destinations","Najposećenija odredišta"
"Locale Options","Lokalna podešavanja"
Timezone,"Vremenska zona"
Locale,Lokalno
"First Day of Week","Prvi dan u nedelji"
"Weekend Days","Dani vikenda"
"Store Name","Ime prodavnice"
"Store Phone Number","Broj telefona u prodavnica"
"Store Hours of Operation","Radno vreme prodavnice"
Country,Država
Region/State,Region/država
"ZIP/Postal Code","Poštanski broj"
City,Grad
"Street Address",Adresa
"Street Address Line 2","Red za adresu 2"
"VAT Number","PDV broj"
"Single-Store Mode","Režim rada jedna prodavnica"
"Enable Single-Store Mode","Omogući režim rada jedna prodavnica"
"This setting will not be taken into account if system has more than one store view.","Ova postavka će biti uzeta u obzir za nalog ako sistem ima više od jednog prikaza prodavnice."
"Mail Sending Settings","Podešavanje slanja pošte"
"Disable Email Communications","Onemogući Email komunikaciju"
"Set Return-Path","Postavi povratnu adresu"
"Return-Path Email","E-mail povratna adresa"
"Admin User Emails","E-mail admin korisnika"
"Forgot Password Email Template","Zaboravio lozinku e-pošte za šalon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šalon e-pošte je izabran na osnovu teme kada je izabrana opcija „Zadata vrednost”."
"Forgot and Reset Email Sender","Zaboravi i poništi E-mail pošiljaoca"
"Startup Page","Početna stranica"
"Admin Base URL","Osnovni URL admina"
"Use Custom Admin URL","Koristi prilagođen URL admina"
"Custom Admin URL","Prilagođen URL admina"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Uverite se da se osnovna adresa URL završava sa „/” (kosa crta), Npr. http://yourdomain/magento/"
"Use Custom Admin Path","Koristi prilagođenu Url putanju admina"
"Custom Admin Path","Prilagođena putanja admina"
"You will have to sign in after you save your custom admin path.","Moraćete da se prijaviteponovo nakon što sačuvate svoju prilagođenu admin putanju."
Security,Sigurnost
"Recovery Link Expiration Period (hours)","Vreme isteka linka za oporavak (sati)"
"Please enter a number 1 or greater in this field.","U ovo polje unesite broj 1 ili veći."
"Add Secret Key to URLs","Dodati tajni ključ za URL adresu"
"Login is Case Sensitive","Prijava je osetljiva na mala i velika slova"
"Admin Session Lifetime (seconds)","Vreme trajanja admin sesije (u sekundama)"
"Please enter at least 60 and at most 31536000 (one year).","Molimo unesti najmanje 60, a najviše 31536000 (godinu dana)."
"Enable Charts","Omogući grafikone"
"Url Options","Opcije URL adrese"
"Add Store Code to Urls","Dodati kod prodavnice za ove URL-ove"
"Auto-redirect to Base URL","Auto - preusmeravanje na osnovu URL adrese"
"Search Engine Optimization","Optimizacija programa za pretraživanje"
"Use Web Server Rewrites","Koristi Web server za pisanje"
"Base URLs","Osnovna URL adresa"
"Base URL","Osnovni URL"
"Specify URL or {{base_url}} placeholder.","Navedite URL adresu ili {{base_url}} kontejner."
"Base Link URL","Veza ka osnovnoj URL adresi"
"Base URL for Static View Files","Osnovni URL za pregled statičnih datoteka"
"May be empty or start with {{unsecure_base_url}} placeholder.","Može biti prazno ili početi sa {{unsecure_base_url}} kontejner."
"Base URL for User Media Files","Osnovni URL za medijske datoteke kolisnika"
"Base URLs (Secure)","Osnovne (sigurne) URL adrese"
"Secure Base URL","Siguran osnovni URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Navedite URL ili {{base_url}}, ili {{unsecure_base_url}} kontejner."
"Secure Base Link URL","Siguran osnovni link URL"
"Secure Base URL for Static View Files","Siguran osnovni URL za pregled statičnih datoteka"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Može biti prazno ili početi sa {{secure_base_url}}, ili {{unsecure_base_url}} kontejner."
"Secure Base URL for User Media Files","Siguran osnovni URL za korisničke medijske datoteke"
"Use Secure URLs on Storefront","Koristi sigurne URL-ove za izlog prodavnice"
"Use Secure URLs in Admin","Koristi sigurne URL-ove u admin"
"Enable HTTP Strict Transport Security (HSTS)","Omogući HTTP Strict Transport Security (HSTS)"
"Upgrade Insecure Requests","Nadogradite nesigurne zahteve"
"Offloader header","Offloader zaglavlje"
"Default Pages","Podrazumevane stranice"
"Default Web URL","Podrazumevana Web URL adresa"
"Default No-route URL","Nema rute do podrazumevane rute URL"
"Session Validation Settings","Postavke za proveru ispravnosti sesije"
"Validate REMOTE_ADDR","Proveri ispravnost REMOTE_ADDR"
"Validate HTTP_VIA","Proveri ispravnost HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Proveri ispravnost HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Proveri ispravnost HTTP_USER_AGENT"
"Use SID on Storefront","Koristi SID na izlogu"
"Allows customers to stay logged in when switching between different stores.","Omogućava klijentima da ostanu prijavljeni kad prelaze između različitih prodavnica."
"Cache Type","Tip keširanja"
Description,Opis
Tags,Oznake
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 greška</h1><p>Stranica nije pronađena.</p>"
"Community Edition","Zajedničko izdanje"
"Default Theme","Podrazumevane teme"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","Ako ni jedna vrednost nije navedena, koristi se podrazumevana. Podrazumevana sistemska vrednost se može promeniti od strane treće strane proizvođača."
"Applied Theme","Primenjena tema"
"Design Rule","Pravilo dizajna"
"User Agent Rules","Pravila korisničkih agenata"
Pagination,"Numerisanje stranica"
"How many links to display at once.","Koliko je veza potrebno za istovremeni prikaz."
"Pagination Frame","Numerisanje stranica okvira"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Ako trenutni položaj okvira ne pokriva najveću stranicu, to skraćuje vezu sa trenutne pozicije plus/minus ove vrednosti."
"Pagination Frame Skip","Preskoči numerisanje stranica okvira"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternativni tekst za vezu ka prethodnim stranicama u meniju numerisanja stranica. Ako je prazan, koristi podrazumevanu sliku strelicu."
"Anchor Text for Previous","Povežite tekst sa prethodnim"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternativni tekst za vezu ka sledećim stranicama u meniju numerisanja stranica. Ako je prazan, koristi podrazumevanu sliku strelicu."
"Anchor Text for Next","Povežite tekst sa narednim"
"Theme Name","Ime teme"
"Access denied","Pristup zabranjen"
"Please try to sign out and sign in again.","Pokušajte da se ulogujete ponvo."
"If you continue to receive this message, please contact the store owner.","Ako ponovo vidite ovu poruku kontaktirajte vlasnika prodavnice."
"You need more permissions to access this.","Potrebne su vam više dozvole za pristup ovom."
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Autorskih prava &copy; %1 Magento Commerce Inc. Sva prava zadržana."
"Report Bugs","Prijavi Bagove"
"Themes JavaScript and CSS files combined to one file.","JavaScript i CSS fajlovi teme spojeni u jedan fajl."
"Design Theme","Dizajniraj Temu"
"User-Agent Exceptions","User-Agent Izuzeci"
label,oznaka
"System Backup","Rezervna kopija sistema"
"Database and Media Backup","Baze podataka i rezervne kopija medija"
"Database Backup","Rezervna kopija baze podataka"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arhiva može biti raspakovani sa <a href=""%1"">%2</a> na Windows sistemima."
"You need more permissions to activate maintenance mode right now.","Trebaju ti veće dozvole da biste odmah aktivirali režim održavanja."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Da biste napravili rezervnu kopiju, opozovite izbor „Stavi prodavnicu u režimu održavanja” ili ažurirajte vaše dozvole."
"Something went wrong while putting your store into maintenance mode.","Došlo je do greške pri stavljanju vaše prodavnice u režim održavanja."
"You need more free space to create a backup.","Potrebno vam je više slobodnog prostora za izradu rezervne kopije."
"You need more permissions to create a backup.","Potrebno vam je više dozvola za izradu rezervne kopije."
"We can't create the backup right now.","Trenutno je nemoguće kreirati rezervnu kopiju."
Backups,"Rezervne kopije"
Backup,"Pravljenje rezervne kopije"
"We can't delete one or more backups.","Nemoguće obrisate jednu ili više rezervnih kopija."
failed,neuspešno
successful,uspešno
"You deleted the selected backup(s).","Obrisali ste izabranu(e) rezervnu(e) kopije."
"Can't load snapshot archive","Nemoguće učitati arhivu snimaka"
"Please correct the password.","Molim ispravite lozinku."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Da biste dovršili vraćanje, opozovite izbor „Stavi prodavnicu u režimu održavanja” ili ažurirajte vaše dozvole."
"We can't find the backup file.","Nemožemo pronaći fajl rezervne kopije."
"We can't connect to the FTP right now.","Trenutno se nemožemo povezati na FTP."
"Failed to validate FTP.","Neuspešna provera FTP."
"You need more permissions to perform a rollback.","Potrebno vam je više dozvola za izvršavanje vraćanja na prethodno."
"Failed to rollback.","Neuspešno vraćanje na prethodno."
Database,"Baza podataka"
"Database and Media","Baze podataka i medij"
"System (excluding Media)","Sistem (bez medija)"
"You created the system backup.","Kreirali ste rezervnu kopiju sistema."
"You created the system backup (excluding media).","Kreirali ste rezervnu kopiju sistema (bez medija)."
"You created the database and media backup.","Kreirali ste rezervne kopije baze podataka i medija."
"You created the database backup.","Kreirali ste rezervne kopije baze podataka."
"Please correct the order of creation for a new backup.","Molim vas ispravite redosled kreiranja nove rezervnu kopiju."
"The backup file does not exist.","Rezervna datoteka ne postoji."
"The backup file path was not specified.","Putanja do datoteke rezervne kopije nije navedena."
"The backup file ""%1"" does not exist.","Rezervna kopija „%1” ne postoji."
"Sorry, but we cannot read from or write to backup file ""%1"".","Izvini, ali ne može se promeniti sadržaj rezervne datoteke „%1”."
"The backup file handler was unspecified.","Program za čitanje sadržaja rezervne kopije je neodređen."
"Something went wrong while writing to the backup file ""%1"".","Nešto je krenulo naopako pri upisu u rezervnu datoteku „%1”."
"We can't save the Cron expression.","Nemožemo dačuvati Cron izraz."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Izgubi ćete sve podatke napravljene od kada je napravljena rezervna kopija, uključujući i podatke o korisnicima, kupcima i porudžbinama."
"Are you sure you want to continue?","Da li ste sigurni da želite da nastavite?"
"This may take a few moments.","Ovo bi moglo da potraje."
"Be sure your store is in maintenance mode during backup.","Budi siguran da je tvoja prodavnica u režimu održavanja tokom pravljenja rezervne kopije."
"Backup Name","Ime rezervne kopije"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Molimo koristite samo slova (a-z ili A-Z), brojeve (0-9) ili razmake u ovom polju."
"Maintenance mode","Režim Održavanja"
"Please put your store into maintenance mode during backup.","Molim vas, stavite vaše prodavnicu u režim održavanja za vreme izrade rezervne kopije."
Exclude,Isključi
"Exclude media folder from backup","Izuzmi fascikle medija iz rezervne kopije"
